为了,"['for', 'for the sake of']","['prep.', 'misc.']"
现场,"['scene', 'spot']","['n.', 'adj.']"
测试,"['measurement', 'test']","['n.', 'vt.']"
锁定,['lock'],['vt.']
存在,['exist'],['vi.']
显著,['outstanding'],['adj.']
预应力,"['prestress', 'prestressing force']","['n.', 'misc.']"
损失,"['loss', 'damage']","['n.', 'vi.']"
对此,['withal'],['adv.']
进行,"['conduct', 'proceed', 'carry through']","['n.', 'vi.', 'misc.']"
提出,"['put forward', 'raise', 'come up with']","['v.', 'vt.', 'misc.']"
解决问题,['solve the problem'],['solve the problem\n ;\n']
几个,"['several', 'a few']","['adj.', 'misc.']"
办法,['way'],['n.']
先,"['before', 'ancestor', 'earlier', 'elder generation']","['prep.', 'n.', 'adv.', 'misc.']"
通顺,"['smooth', 'clear and coherent']","['adj.', 'misc.']"
逐渐,['little by little'],['little by little\n']
向上,"['upward', 'up', 'make progress']","['adj.', 'adv.', 'misc.']"
打通,['get through'],['get through\n']
全部,"['whole', 'all']","['n.', 'adj.']"
结节,['nodule'],['n.']
后,"['queen', 'later']","['n.', 'adv.']"
从上向下,['from the top down'],['from the top down\n']
离开,"['departure', 'leave', 'deviate from']","['n.', 'vt.', 'misc.']"
修道院,['cloister'],['n.']
图书馆,['library'],['library\n']
天,['sky'],['n.']
稍稍,['in a way'],['in a way\n']
放晴,['clear up (after rain)'],['clear up (after rain)\n']
仙女,['peri'],['n.']
教母,['god-mother'],['god-mother\n']
一次,"['once', 'at a time']","['adv.', 'misc.']"
提醒,"['caution', 'remind']","['n.', 'vt.']"
辛德,['Synder'],['n.']
瑞拉,['ruilav（蔷薇属的观赏植物）'],['ruilav（蔷薇属的观赏植物）\n ;\n']
午夜,['midnight'],['n.']
本文,"['this text, article, etc.']","['this text, article, etc.\n']"
详细,"['particular', 'in detail']","['adj.', 'misc.']"
介绍,"['presentation', 'introduce']","['n.', 'vt.']"
需求,"['demand', 'desired']","['n.', 'adj.']"
功能分析,['functional analysis'],['functional analysis\n ;\n']
给出,['give'],['vt.']
相关,"['correlation', 'be related to']","['n.', 'misc.']"
接口函数,['interface function'],['interface function\n']
底层,"['basement', 'ground floor']","['n.', 'misc.']"
算法,"['arithmetic', 'ALG', 'D-algorithm']","['n.', 'abbr.', 'misc.']"
函数,['function'],['n.']
实现,"['realize', 'come true']","['vt.', 'misc.']"
源代码,['SC(source code)'],['SC(source code)\n']
舒,"['relax', 'easy', 'stretch', 'confortable']","['vi.', 'adj.', 'vt.', 'misc.']"
伦克,['Renk'],['n.']
超薄,['ultrathin'],['adj.']
铜合金,"['Aldary', 'copper alloy']","['n.', 'misc.']"
制造,"['manufacture', 'fabricate']","['n.', 'vt.']"
非,"['mistake', 'wrong']","['n.', 'adv.']"
铁合金,"['ferroalloy', 'iron alloy']","['n.', 'misc.']"
箔,"['foil', 'screen (of reeds, sorghum stalks, etc.)']","['vt.', 'misc.']"
为主,['take sth as the principal thing'],['take sth as the principal thing\n']
制造商,['manufacturer'],['n.']
成天,"['all day long', 'all the time']","['adv.', 'misc.']"
翕动,['close and open'],['close and open\n']
翅膀,['wing'],['n.']
任,"['allow', 'no matter']","['vt.', 'misc.']"
空气稀薄,['rarefied air'],['rarefied air\n ;\n']
暴风,"['squall', 'storm wind']","['n.', 'misc.']"
高处,"['up', 'elevation']","['prep.', 'n.']"
疲乏,"['fatigue', 'weary', 'worn out']","['n.', 'adj.', 'misc.']"
不肯,['refuse'],['n.']
降落,"['landing', 'touch down']","['n.', 'misc.']"
大地,"['earth', 'the earth']","['n.', 'misc.']"
即使,['even though'],['even though\n ;\n']
黑夜,['night'],['n.']
即将,['be about to'],['be about to\n']
紧闭,"['closeness', 'lock']","['n.', 'vt.']"
帷幕,"['purdah', 'heavy curtain']","['n.', 'misc.']"
另外,"['moreover', 'in addition']","['adv.', 'misc.']"
自杀,"['suicide', 'commit suicide']","['n.', 'misc.']"
试图,"['attempt', 'try']","['n.', 'vt.']"
进入,"['turn into', 'entrance', 'enter into']","['v.', 'n.', 'misc.']"
武装警察,['armed police'],['armed police\n']
机,"['chance', 'organic']","['n.', 'adj.']"
保护,"['guard', 'protect']","['n.', 'vt.']"
航站楼,['terminal'],['terminal\n']
合法,"['legitimacy', 'legal']","['n.', 'adj.']"
律法,['law'],['n.']
门,['door'],['n.']
进来,"['enter', 'come in']","['vt.', 'misc.']"
激光,"['laser', 'laser n.']","['n.', 'misc.']"
生物学,"['biology', 'Biol.']","['n.', 'misc.']"
作用,"['effect', 'impact']","['n.', 'vt.']"
机制,"['machining', 'mechanism', 'machine-made', 'machine made']","['v.', 'n.', 'adj.', 'misc.']"
光,"['light', 'naked', 'nothing left']","['n.', 'adj.', 'misc.']"
电磁,['electromagnetism'],['n.']
热,['hot（用于水龙头上）'],['hot（用于水龙头上）\n']
压力,['pressure'],['n.']
效应,"['effect', 'domino offect']","['n.', 'misc.']"
四个,"['tetrad', 'four']","['n.', 'num.']"
讨论,"['discussion', 'discuss']","['n.', 'vt.']"
寿命,"['lifetime', 'life span']","['n.', 'misc.']"
百岁老人,['centenarian'],['adj.']
老人,['old man or woman'],['old man or woman\n']
相比,['compare with'],['compare with\n']
也,"['likewise', 'as well']","['adv.', 'misc.']"
普遍,"['commonplace', 'general', 'at large']","['n.', 'adj.', 'misc.']"
得,['gain'],['vt.']
清楚,['clear'],['adj.']
基因组,['genome'],['n.']
价值,"['value', 'cost']","['n.', 'vt.']"
所在,['place'],['n.']
乌拉圭,['Uruguay'],['n.']
例外,['exception'],['n.']
三,['three'],['n.']
后卫,"['guard', 'full back']","['n.', 'misc.']"
阵型,['formation'],['n.']
橄榄球,['rugby（英式）'],['rugby（英式）\n']
属于,['belong to'],['belong to\n ;\n']
英式,"['Anglicism', 'British', 'English-style']","['n.', 'adj.', 'misc.']"
具有,['possess'],['vt.']
独特,"['special', 'unique']","['n.', 'adj.']"
规律,"['law', 'rule']","['n.', 'vi.']"
特点,"['trait', 'characteristic']","['n.', 'adj.']"
本月,['this month'],['this month\n ;\n']
媒体,"['media', 'M']","['n.', 'abbr.']"
测验,"['testing', 'test']","['v.', 'n.']"
考试,"['examination', 'examine']","['n.', 'vt.']"
电视,['television'],['n.']
电台,['broadcasting station'],['broadcasting station\n']
嘉宾,['honored guest'],['honored guest\n ;\n']
网络,"['network', 'electric network']","['n.', 'misc.']"
最,"['-est', 'best', 'most', 'best of all']","['suff.', 'n.', 'adv.', 'misc.']"
简单,"['simpleness', 'not complicated']","['n.', 'misc.']"
面,['face'],['n.']
采访,['interview'],['n.']
撰写,"['write', 'compose']","['vi.', 'vt.']"
小说,['fiction'],['fiction\n']
成熟,"['maturity', 'ripe']","['n.', 'adj.']"
起来,"['stand up', 'sit up']","['v.', 'misc.']"
能够,['be capable of'],['v.']
成年人,['adult'],['n.']
之,"['go', 'this', 'leave', 'a surname']","['vi.', 'pron.', 'vt.', 'misc.']"
放在,['put (something) in a certain position'],['put (something) in a certain position\n']
试验,['test'],['n.']
像,"['like', 'image', 'seem', 'resemble', 'such as']","['prep.', 'n.', 'vi.', 'vt.', 'misc.']"
吹过,['blow over'],['blow over\n']
面颊,['cheek'],['n.']
跳舞,['dance'],['vi.']
目前,"['now', 'at present']","['n.', 'misc.']"
轨迹,['track'],['n.']
尚,"['esteem', 'still', 'to value']","['vt.', 'adv.', 'misc.']"
清晰,"['clearness', 'distinct', 'in focus']","['n.', 'adj.', 'misc.']"
但,"['but', 'just']","['conj.', 'adv.']"
特雷莎,['Teresa'],['n.']
梅,"['plum', 'Prunus mume Sieb. et Zucc.']","['n.', 'misc.']"
政府,['government'],['n.']
承诺,['commitment'],['n.']
启动,"['enablement', 'start']","['n.', 'vt.']"
欧盟,['EU(European Union)'],['EU(European Union)\n']
第,['auxiliary word for ordinal numbers'],['auxiliary word for ordinal numbers\n ;\n']
欧,['a surname'],['a surname\n ;\n']
程序,['procedure'],['n.']
之前,"['before', 'pre-', 'forestall', 'ago', 'prior to']","['prep.', 'pref.', 'vt.', 'adv.', 'misc.']"
制订,"['formulate', 'draw up']","['vt.', 'misc.']"
一项,"['a (formality, etc.)']","['a (formality, etc.)\n']"
计划,"['plan', 'project']","['n.', 'vi.']"
理论,['theory'],['n.']
实验,"['test', 'experiment']","['n.', 'vi.']"
表明,"['indicate', 'make clear']","['vt.', 'misc.']"
改性,['modified'],['adj.']
动,"['move', 'act']","['n.', 'vt.']"
水位,['water level'],['n.']
井孔,['wellhole'],['n.']
对应,"['correspondence', 'corresponding']","['n.', 'adj.']"
静,"['quiet', 'still']","['adj.', 'adv.']"
相差,"['discrepancy', 'differ']","['n.', 'vt.']"
恒定,['constant'],['adj.']
落差,"['head', 'fall']","['n.', 'vi.']"
认为,"['think', 'take for']","['vt.', 'misc.']"
核能,['nuclear energy'],['n.']
发电,['generate electricity'],['generate electricity\n']
成本,['cost'],['n.']
有朝一日,"['sometime', 'some day']","['adv.', 'misc.']"
区域,['area'],['n.']
项目,"['item', 'project', 'sports event']","['n.', 'vi.', 'misc.']"
分担,['share responsibility for'],['share responsibility for\n']
肯尼亚,['Kenya'],['n.']
自主,"['autonomously', ""act on one's own""]","['adv.', 'misc.']"
前进,"['advance', 'make progress']","['n.', 'misc.']"
克里姆林宫,['the Kremlin'],['the Kremlin\n']
宣布,"['chalk it up', 'announce', 'blazon forth']","['v.', 'vt.', 'misc.']"
暂停,"['pause', 'suspend']","['n.', 'vt.']"
参,"['refer', 'uneven', 'join']","['vi.', 'adj.', 'vt.']"
欧洲,"['Europe', 'European']","['n.', 'adj.']"
常规武器,['conventional weapons'],['conventional weapons\n']
条约,['treaty'],['n.']
曼联,['Man Utd. (Manchester United)'],['Man Utd. (Manchester United)\n']
初次,['the first time'],['the first time\n']
登场,['come on stage'],['come on stage\n ;\n']
灵魂,['soul'],['n.']
下降,"['decline', 'descend']","['n.', 'vi.']"
分离,"['separation', 'separate']","['n.', 'vt.']"
创造,['create'],['vt.']
男性,"['masculinity', 'male']","['n.', 'adj.']"
女性,"['woman', 'the female of the species']","['n.', 'misc.']"
半个,['half'],['n.']
盘,['dish'],['n.']
轴对称,['axial symmetry'],['axial symmetry\n ;\n']
径向,['radial direction'],['radial direction\n']
振动,"['vibration', 'vibrate', 'oscillate']","['n.', 'vi.', 'vt.']"
扭转,"['reverse', 'twist', 'turn around']","['n.', 'vt.', 'misc.']"
所用,['use'],['use\n ;\n']
盘形,"['disk', 'talle']","['n.', 'misc.']"
厚度,['thickness'],['n.']
沿,"['along', 'edge', 'follow']","['prep.', 'n.', 'vt.']"
半径,['radius'],['n.']
按,['press'],['vt.']
阶梯形,['stepped appearance'],['stepped appearance\n']
锥形,['taper'],['n.']
指数,['index'],['n.']
形,"['shape', 'look']","['n.', 'vt.']"
变化,['change'],['n.']
想象,"['fancy', 'imagine']","['adj.', 'vt.']"
一下,"['once', 'one time']","['adv.', 'misc.']"
词条,['entry (in a dictionary)'],['entry (in a dictionary)\n']
翻,"['rake over', 'cross', 'search', 'translate', 'turn over']","['v.', 'n.', 'vi.', 'vt.', 'misc.']"
顺着,['along'],['prep.']
线索,['thread'],['n.']
尤其,['particularly'],['adv.']
词源,"['etymology', 'the origin of a word']","['n.', 'misc.']"
查询,"['query', 'refer', 'inquire', 'see about']","['n.', 'vi.', 'vt.', 'misc.']"
一页,['one page'],['one page\n']
翻到,"['overset', 'turn to']","['vt.', 'misc.']"
另,"['another', 'moreover', 'in addition']","['adj.', 'adv.', 'misc.']"
一卷,['a reel'],['a reel\n']
绝对,"['absoluteness', 'absolute', 'absolutely']","['n.', 'adj.', 'adv.']"
一种,['a sort of'],['a sort of\n ;\n']
感官,['sense organ'],['sense organ\n']
体验,['experience'],['n.']
加进,"['add', 'put in']","['vi.', 'misc.']"
创作,"['creation', 'write', 'create', 'creative work']","['n.', 'vi.', 'vt.', 'misc.']"
对话,['dialogue'],['n.']
西尔,['Cyr'],['n.']
仍旧,['continue to be'],['continue to be\n ;\n']
坚称,"['affirm', 'persist in saying']","['vt.', 'misc.']"
无,"['without', 'nothing', 'not have']","['prep.', 'n.', 'misc.']"
生命,['life'],['n.']
化学反应,['chemical reaction'],['n.']
应该,"['should', 'ought to']","['aux.', 'misc.']"
聚集,"['aggregation', 'collect', 'gather']","['n.', 'vi.', 'vt.']"
很多,['a great many'],['a great many\n ;\n']
跟,"['with', 'go with', 'heel', 'and', 'follow']","['prep.', 'v.', 'n.', 'conj.', 'vt.']"
阿基,['Akey'],['n.']
利亚,['Leah'],['n.']
论辩,['debate'],['vt.']
公司,['company'],['n.']
质量体系,['QS(quality system)'],['QS(quality system)\n']
认证,"['authentication', 'approve']","['n.', 'vt.']"
部份,"['section', 'share']","['n.', 'vt.']"
产品,['product'],['n.']
启示录,['apocalypse'],['n.']
作品,['production'],['n.']
来宾,['guest'],['n.']
卧室,['bedroom'],['n.']
装着,['loaded up with'],['loaded up with\n']
未知,['unknown'],['adj.']
东西,"['thing', 'un', 'east and west']","['n.', 'pron.', 'misc.']"
箱子,['box'],['n.']
堆满,"['stack', 'clutter up']","['n.', 'misc.']"
墙,['wall'],['n.']
一圈,['a round'],['a round\n ;\n']
跑,['run'],['vi.']
不错,['not bad'],['not bad\n']
足以,"['sufficient', 'enough']","['adj.', 'adv.']"
杆位,['pole position'],['pole position\n']
该,"['deserve', 'should', 'ought to']","['vi.', 'aux.', 'misc.']"
仪器,['instrument'],['n.']
采用,"['use', 'adopt']","['n.', 'vt.']"
单片机,"['SCM', 'singlechip']","['abbr.', 'misc.']"
核心,"['kernel', 'centre']","['n.', 'vi.']"
硬件,['hardware'],['hardware\n']
结构,['construction'],['n.']
自,"['from', 'since', 'oneself', 'naturally', ""one's own""]","['prep.', 'conj.', 'pron.', 'adv.', 'misc.']"
诊断,"['diagnosis', 'diagnose']","['n.', 'vt.']"
数字滤波,['digital filtering'],['digital filtering\n']
非线性,"['nonlinearity', 'nolinear']","['n.', 'misc.']"
补偿,"['compensation', 'compensate', 'make up for']","['n.', 'vi.', 'misc.']"
功能,['function'],['n.']
虽然,"['notwithstanding', 'although', 'though']","['prep.', 'conj.', 'adv.']"
小行星,"['asteroid', 'minor planet']","['n.', 'misc.']"
并未,['not yet'],['not yet\n ;\n']
地球,['the earth'],['the earth\n ;\n']
轨道,['pathway'],['n.']
却,"['refuse', 'but', 'yet', 'step back']","['n.', 'conj.', 'adv.', 'misc.']"
实际上,"['actually', 'in practice']","['adv.', 'misc.']"
穿过,"['across', 'traverse', 'thread', 'pass through']","['prep.', 'n.', 'vt.', 'misc.']"
靠近,"['near', 'close to']","['prep.', 'misc.']"
近日点,['perihelion'],['n.']
内侧,"['inside', 'inner side']","['n.', 'misc.']"
约翰,"['John', 'Jno.']","['n.', 'abbr.']"
意外获得,['unsought'],['adj.']
一笔,"['brushstroke', 'at one stroke']","['n.', 'misc.']"
财富,['treasure'],['n.']
夫人,['madam'],['n.']
大吃一惊,"['startled', 'shocked', ""jump out of one's skin""]","['v.', 'adj.', 'misc.']"
唐代,['Tang Dynasty'],['Tang Dynasty\n']
实行,"['implement', 'put into practice']","['vt.', 'misc.']"
行政,"['administration', 'administrative', 'administeration']","['n.', 'adj.', 'misc.']"
规划,"['programme', 'project']","['n.', 'vi.']"
基础,['basics'],['basics\n']
公元,['the Christian era'],['the Christian era\n']
诗人,['poet'],['n.']
地理分布,['geographical distribution'],['geographical distribution\n']
全国性,"['national', 'countrywide']","['adj.', 'adv.']"
分道,['lane'],['n.']
时间,['time'],['n.']
空间,['interspace'],['n.']
一定,['certainly'],['adv.']
前提,"['precondition', 'premise']","['n.', 'vt.']"
下,"['underneath', 'descend', 'below']","['prep.', 'vi.', 'adv.']"
唐诗,['poetry of the Tang Dynasty'],['poetry of the Tang Dynasty\n']
定量,"['ration', 'fix quantify']","['vt.', 'misc.']"
定性分析,['qualitative analysis'],['qualitative analysis\n']
已经,['already'],['adv.']
前行,"['progress', 'forward', 'move ahead']","['n.', 'adj.', 'misc.']"
明白,['understand'],['vt.']
意,"['meaning', 'expect']","['n.', 'vt.']"
那些,['those'],['adj.']
经过,"['pass', 'go through']","['n.', 'misc.']"
竞选活动,['election campaign'],['election campaign\n']
坎大哈,['Kandahar'],['n.']
省,"['province', 'economize', 'examine oneself critically']","['n.', 'vi.', 'misc.']"
官员,['officer'],['n.']
阿吉,"['Akee', 'Agee', 'Aggi']","['n.', 'adv.', 'misc.']"
斯塔尼,['Stagni'],['n.']
保镖,['bodyguard'],['n.']
上班,['be on duty'],['be on duty\n ;\n']
路上,['on the road'],['on the road\n']
骑,['ride'],['vi.']
摩托车,['motorbike'],['motorbike\n']
武装,"['arms', 'military equipment']","['v.', 'misc.']"
分子,['molecule'],['n.']
开枪,"['shoot', 'fire with a rifle, pistol, etc.']","['vt.', 'misc.']"
打死,['beat to death'],['beat to death\n']
搜集,['gather'],['vt.']
一些,"['some', 'a number of']","['adj.', 'misc.']"
箱底,['the bottom of a chest'],['the bottom of a chest\n ;\n']
伏特加,['vodka'],['n.']
家里,"['family', 'at home']","['n.', 'misc.']"
各个,['each'],['adj.']
角落,"['corner', 'angle']","['n.', 'vi.']"
小,['little'],['adj.']
方法,['method'],['n.']
反垄断法,['antitrust law'],['antitrust law\n ;\n']
应,"['promise', 'respond', 'should', 'answer']","['n.', 'vi.', 'aux.', 'vt.']"
垄断,['monopoly'],['n.']
其他,"['rests', 'rest', 'else']","['v.', 'vt.', 'adv.']"
限制,"['limit', 'astrict', 'impose restrictions on']","['n.', 'vt.', 'misc.']"
竞争,"['competition', 'contend']","['n.', 'vi.']"
行为,['behavior'],['n.']
规制,"['regulation', 'govern']","['n.', 'vt.']"
对象,['object'],['n.']
构建,"['structure', 'build']","['n.', 'vt.']"
节约型,['saving type'],['saving type\n']
社会,['society'],['n.']
现代,"['contemporary', 'modern', 'modern times']","['n.', 'adj.', 'misc.']"
目光,['view'],['n.']
着眼于,"['look at', 'with a view to']","['v.', 'misc.']"
长远,['long-term'],['adj.']
未来,['future'],['n.']
当务之急,['urgent affairs'],['urgent affairs\n ;\n']
剂量,['dosage'],['n.']
碳水化合物,['carbohydrate'],['n.']
糖,['sugar'],['sugar\n']
咖啡因,['caffeine'],['n.']
清醒,['sober'],['adj.']
最终,"['ultimately', 'in the end']","['adv.', 'misc.']"
导致,"['generate', 'result in']","['vt.', 'misc.']"
重磅,['blockbuster'],['blockbuster\n ;\n']
睡眠,['sleep'],['n.']
产生,"['produce', 'come into being']","['vt.', 'misc.']"
相反,"['opposite', 'on the contrary']","['adj.', 'misc.']"
